t,X_obs,Y_obs,Z_obs,X_true,Y_true,Z_true
14.774000000000001,-10.473860956320193,-14.602808050412042,20.446026261403656,-10.48456800605479,-16.61887120639278,20.1705712465923
14.775,-7.921066805039549,-12.103146457343758,18.930967255865873,-10.54593017896836,-16.68391176765286,20.291716404541386
14.776,-12.595740469258018,-15.720609628376437,20.719354265408718,-10.607324608535812,-16.748075959636783,20.414242011451726
14.777000000000001,-13.10794304521807,-20.97223948395056,18.044815485735427,-10.668742112644813,-16.811335264137472,20.538143315967545
14.778,-11.228081226311959,-18.752794508279738,17.61493519925136,-10.730173314189708,-16.873660909989923,20.663414957686648
14.779,-6.907039921990088,-12.994693339420651,19.864432876040848,-10.791608642041206,-16.935023890907832,20.790050950811647
14.780000000000001,-10.415309508784622,-13.70251613909521,23.828159703493785,-10.853038331183836,-16.995394976362384,20.91804467282103
14.781,-10.540340940639815,-16.823615810032365,23.487911018943798,-10.914452422335332,-17.054744717121597,21.04738885782326
14.782,-10.924901125314033,-18.44926893384372,22.322209176107915,-10.975840760025251,-17.11304345951316,21.178075576220333
14.783,-13.611887799246475,-17.392134708788443,19.91197690499243,-11.037192993925569,-17.170261364310708,21.310096220265017
14.784,-11.446959513404892,-16.616323325445233,23.681128021390947,-11.09849857965963,-17.226368421438554,21.443441492280794
14.785,-13.036596767851938,-18.447338547645394,21.191978545388785,-11.159746778634409,-17.28133445694557,21.57810139791949
14.786,-10.897312643093288,-20.310374933934003,21.670790732210367,-11.220926656885881,-17.335129149689312,21.714065227498526
14.787,-11.879980111713602,-13.97513999108816,21.321790692942766,-11.28202708725212,-17.38772205422961,21.851321542273535
14.788,-11.043992920453885,-16.121664862076912,25.650693902671016,-11.34303675055324,-17.439082615216886,21.98985816537334
14.789,-13.649946653407284,-20.94471744223314,20.72407812445606,-11.403944135645343,-17.48918017866417,22.129662172801716
14.790000000000001,-10.03976148105879,-14.913067600818252,21.8572491987776,-11.464737539232425,-17.53798401013117,22.2707198778546
14.791,-10.327155442296899,-19.438820579408425,23.914546843003222,-11.525405069281021,-17.58546332335363,22.413016818314766
14.792,-12.316466388109756,-18.161898513904706,20.30039378131771,-11.585934646075673,-17.631587290997164,22.556537751089255
14.793000000000001,-10.911193427885403,-20.948079875657704,22.363339602488374,-11.646314002579686,-17.676325061949733,22.7012666403966
14.794,-13.151818188838428,-15.386094500445225,22.537570445779632,-11.70653068609168,-17.719645784182166,22.847186645567
14.795,-11.676040263306167,-19.520377813138484,20.48294211609091,-11.76657206222857,-17.761518633442858,22.994280111850877
14.796000000000001,-13.9549688175313,-16.43395986405451,25.54296384053698,-11.826425315779032,-17.80191282297653,23.142528566172988
14.797,-13.710470786628678,-18.68325273414825,23.02194534767363,-11.886077451790884,-17.840797627081425,23.291912704180866
14.798,-9.68371218691982,-16.506433211369593,21.39290282236458,-11.945515299905418,-17.878142411298676,23.44241238259824
14.799,-11.389369857785217,-20.561502405017297,24.224848030867165,-12.004725517339828,-17.913916652374414,23.59400661471711
14.8,-12.78759996373605,-15.69102927375981,24.675553656497634,-12.063694590281324,-17.94808995606897,23.74667356336656
14.801,-12.101672944916107,-21.64901706071247,21.97483427361059,-12.122408836858636,-17.98063208462357,23.9003905323885
14.802,-13.853401766148874,-15.666365271445805,23.94128847923059,-12.180854412947005,-18.011512989951065,24.055133963331148
14.803,-11.726160504568426,-19.217018628824235,22.2005472133764,-12.23901731389976,-18.04070282679447,24.210879432828424
14.804,-10.474132917216028,-20.596014858515815,23.218206999698836,-12.296883377275199,-18.0681719802664,24.36760164471665
14.805,-11.672247028552324,-16.80336161177855,23.31930383745344,-12.354438289293897,-18.093891101128325,24.525274429030056
14.806000000000001,-13.49464710583321,-15.93405735933403,23.860123537290544,-12.411667588442864,-18.117831125670044,24.683870741569674
14.807,-12.769047915240364,-19.517484587448806,21.776274796813315,-12.468556668242707,-18.139963299216664,24.84336265965219
14.808,-14.643659262165997,-16.861638278341243,24.175507841065244,-12.525090783171668,-18.160259210326966,25.003721381628363
14.809000000000001,-15.13765786682242,-16.749481209348303,28.1345138004903,-12.581255054896326,-18.178690820466873,25.164917230055053
14.81,-14.102499362916129,-12.583275344968762,24.959783982393116,-12.637034475144038,-18.19523048325097,25.326919650872647
14.811,-11.632377872486082,-15.437210084308136,24.393904121223073,-12.6924139110659,-18.209850976947298,25.48969721352963
14.812000000000001,-12.741401626713312,-17.257375108144487,23.682706512149394,-12.747378113669917,-18.222525541386787,25.653217618630443
14.813,-8.4909493231289,-17.4656316966505,28.4640362808777,-12.801911721140536,-18.233227895487417,25.817447699940537
14.814,-9.378555513616956,-21.57666419393813,25.29379628684908,-12.855999264177525,-18.241932268838347,25.982353426243066
14.815,-9.126970004159856,-17.703179620592657,28.658271136949438,-12.909625175522306,-18.248613440827253,26.14789991293498
14.816,-11.869372938031969,-18.01166983684176,26.35363954130706,-12.962773794402528,-18.25324676011079,26.314051427222125
14.817,-13.209595019442395,-19.4132492060723,26.054474782103327,-13.015429372094715,-18.25580817473407,26.48077139260732
14.818,-12.79671653553891,-19.322729673639575,25.85533502137563,-13.067576081828879,-18.25627427085323,26.648022403475427
14.819,-14.957007386556196,-19.043489681098748,26.99071439770322,-13.119198024859045,-18.25462229593879,26.815766234578998
14.82,-13.485057137964898,-19.630896399744824,30.55041396538705,-13.170279236095313,-18.250830186220423,26.983963847997234
14.821,-15.128394699422294,-17.652850306019307,30.44139915366767,-13.220803694378395,-18.244876604891143,27.152575410701633
14.822000000000001,-12.05950226860469,-18.859206366695965,29.676854499570933,-13.27075533009215,-18.236740968153743,27.321560308814117
14.823,-10.997733452248365,-22.40082823558977,28.006074536844295,-13.320118030938644,-18.22640347032047,27.49087715694126
14.824,-14.321443581181606,-18.63370166318678,26.196373055953497,-13.368875652587873,-18.213845120981734,27.66048381890434
14.825000000000001,-13.284135408940156,-19.30817675185048,26.319594370674555,-13.417012027621864,-18.19904777266668,27.83033742686241
